year,sex,name,n,prop
1990,F,Jessica,46475,0.022627
1990,F,Ashley,45558,0.02218055
1990,F,Brittany,36538,0.01778903
1990,F,Amanda,34408,0.01675201
1990,F,Samantha,25866,0.01259322
1990,F,Sarah,25816,0.01256888
1990,F,Stephanie,24861,0.01210392
1990,F,Jennifer,22226,0.01082104
1990,F,Elizabeth,20744,0.01009951
1990,F,Lauren,20500,0.00998071
1990,F,Megan,20256,0.00986192
1990,F,Emily,19363,0.00942715
1990,F,Nicole,17951,0.00873969
1990,F,Kayla,17538,0.00853862
1990,F,Amber,15864,0.00772361
1990,F,Rachel,15705,0.0076462
1990,F,Courtney,15379,0.00748748
1990,F,Danielle,14334,0.00697871
1990,F,Heather,14220,0.00692321
1990,F,Melissa,13996,0.00681415
1990,F,Rebecca,13672,0.0066564
1990,F,Michelle,13420,0.00653371
1990,F,Tiffany,13159,0.00640664
1990,F,Chelsea,12781,0.00622261
1990,F,Christina,11926,0.00580634
1990,F,Katherine,11624,0.00565931
1990,F,Alyssa,11262,0.00548306
1990,F,Jasmine,11035,0.00537254
1990,F,Laura,10910,0.00531169
1990,F,Hannah,10274,0.00500204
1990,F,Kimberly,10194,0.00496309
1990,F,Kelsey,9494,0.00462229
1990,F,Victoria,9107,0.00443387
1990,F,Sara,8974,0.00436912
1990,F,Mary,8666,0.00421916
1990,F,Erica,8605,0.00418946
1990,F,Alexandra,8506,0.00414126
1990,F,Amy,8461,0.00411936
1990,F,Crystal,8218,0.00400105
1990,F,Andrea,8212,0.00399813
1990,F,Kelly,8135,0.00396064
1990,F,Kristen,8073,0.00393045
1990,F,Erin,7988,0.00388907
1990,F,Brittney,7427,0.00361594
1990,F,Anna,7288,0.00354826
1990,F,Taylor,7257,0.00353317
1990,F,Maria,7183,0.00349714
1990,F,Allison,7132,0.00347231
1990,F,Cassandra,7053,0.00343385
1990,F,Caitlin,7026,0.00342071
1990,F,Lindsey,6781,0.00330142
1990,F,Angela,6664,0.00324446
1990,F,Katie,6514,0.00317143
1990,F,Alicia,6510,0.00316948
1990,F,Jamie,6509,0.003169
1990,F,Vanessa,6406,0.00311885
1990,F,Kathryn,6352,0.00309256
1990,F,Morgan,6049,0.00294504
1990,F,Jordan,5956,0.00289976
1990,F,Whitney,5905,0.00287493
1990,F,Brianna,5678,0.00276441
1990,F,Christine,5675,0.00276295
1990,F,Natalie,5633,0.0027425
1990,F,Lisa,5345,0.00260229
1990,F,Kristin,5303,0.00258184
1990,F,Alexis,5256,0.00255896
1990,F,Jacqueline,5237,0.00254971
1990,F,Shannon,5189,0.00252634
1990,F,Lindsay,5038,0.00245282
1990,F,Brooke,4990,0.00242945
1990,F,Catherine,4893,0.00238223
1990,F,Olivia,4625,0.00225175
1990,F,April,4572,0.00222594
1990,F,Erika,4566,0.00222302
1990,F,Katelyn,4487,0.00218456
1990,F,Monica,4453,0.00216801
1990,F,Kristina,4389,0.00213685
